Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1746052863.47,37.87370023250516,-122.25590941667036,35.0,2.0,3.0,3.0,24.29435546875,44.65127697069197,1000.9331755446044,103.05437245222143,263998.0
1746052865.46,37.87368400512872,-122.25596566083622,42.5,2.0,3.0,3.0,24.20431640625,44.723730193659996,1000.949854915058,102.91412411860733,265005.0
1746052867.49,37.8736755399415,-122.2559979856282,38.0,2.0,3.0,3.5,24.11955078125,44.826465331818525,1000.9730723738758,102.71890397432739,265106.5
1746052869.43,37.87367378678456,-122.25600454222497,38.0,2.0,3.0,3.5,24.0426953125,44.950936722810084,1001.0090938240412,102.41603083862962,266629.5
1746052871.49,37.873676406625506,-122.25603339445198,32.5,2.0,3.0,4.0,23.96828125,45.10248327000006,1001.045910765567,102.10647682499804,265611.5
1746052873.45,37.87367842436311,-122.25604499122876,38.0,2.0,3.0,4.0,23.90841796875,45.26179051649899,1001.0781618670721,101.83532074358678,265411.5
1746052875.5,37.87367867169639,-122.25604679421305,33.5,2.0,3.0,4.0,23.8426953125,45.42053326921088,1001.113832665294,101.53542059708727,265713.0
1746052877.44,37.87363236524704,-122.25615645263886,33.5,2.0,3.0,4.0,23.7813671875,45.55908064959196,1001.1409543316526,101.30740269667777,266528.5
1746052879.48,37.87361253181419,-122.25620231782904,40.5,2.0,3.5,4.0,23.706562499999997,45.654434555913376,1001.1506588604323,101.22581577085339,268378.5
1746052881.45,37.87360959931161,-122.2562091685701,39.0,2.0,3.5,4.0,23.64025390625,45.75976838586169,1001.1733535571125,101.03502207472779,268274.5
1746052883.48,37.873622396595785,-122.25617359162923,33.5,2.0,4.0,4.0,23.58634765625,45.84277753639435,1001.1937379673525,100.8636536516647,269105.5
1746052885.46,37.87363131792686,-122.25614876688954,38.5,2.0,4.0,4.0,23.531757812499997,45.910829211238415,1001.218014533041,100.65956798595533,269837.0
1746052887.48,37.87363251345966,-122.25614544124342,38.5,2.0,4.0,4.0,23.4708203125,45.9990244193508,1001.255889266384,100.34117541454816,272267.0
1746052889.46,37.87360630796258,-122.2562375945598,39.0,2.0,4.0,4.0,23.41193359375,46.08451298831899,1001.2871107558128,100.07871950948478,272693.5
1746052891.48,37.87359663507873,-122.256273919794,36.0,2.0,4.0,4.5,23.36662109375,46.16269224972153,1001.3070398791699,99.91119422477195,270993.0
1746052893.45,37.873595176898746,-122.2562793472272,43.5,2.0,4.0,4.5,23.324921875,46.2263983921467,1001.3298237669683,99.71967442123878,272265.5
1746052895.44,37.87364634011409,-122.25653880238859,43.5,2.0,4.0,5.0,23.324921875,46.2263983921467,1001.3298237669683,99.71967442123878,272265.5
1746052897.45,37.873683461871046,-122.25668058278222,44.0,2.0,4.0,5.0,23.2551953125,46.3226319260216,1001.3600254729929,99.46580687409028,269002.0
1746052899.48,37.87369353923294,-122.25672709445804,40.5,3.0,4.0,5.0,23.215546875,46.413522744334614,1001.3922739475514,99.1947414472732,271311.0
