time,pm 1.0,pm 2.5,pm 10,temperature,gas,humidity,pressure,altitude
1740009099.4219933,0,0,0,20.9423046875,123990,53.698620617164025,1010.6755888002498,21.455814382571997
1740009100.435389,0,0,0,20.8536328125,123990,53.87892789886902,1010.6666264585433,21.530586133468965
1740009101.448308,0,0,0,20.779609375,124081,54.04208789564657,1010.6726817359652,21.480067615311288
1740009102.4611247,0,0,0,20.715546875,124447,54.21308852728018,1010.677354458774,21.44108376680996
1740009103.4731007,0,0,0,20.6528515625,124081,54.35874308600875,1010.6895017602616,21.33974127557684
1740009104.4859354,0,0,0,20.59171875,125278,54.511119919125875,1010.6953912239264,21.290607020680703
1740009105.4996076,0,0,0,20.52765625,124815,54.66321623416427,1010.6877147336593,21.354650016948703
1740009106.5125837,0,0,0,20.4680859375,124907,54.816012308912306,1010.6890890283966,21.3431845982665
1740009107.5255263,0,0,0,20.4096875,124539,54.949769764073245,1010.694110465224,21.301292035811656
1740009108.5386102,0,0,0,20.3477734375,125093,55.09601731734327,1010.6969037141429,21.277988747828037
1740009109.5516815,0,0,0,20.2907421875,124539,55.230126163574035,1010.6953412924436,21.29102358500829
1740009110.564655,0,0,0,20.2360546875,125185,55.371074777881674,1010.701090932922,21.243056060102347
1740009111.5774956,0,0,1,20.1852734375,125000,55.50618402057442,1010.7009011954927,21.24463897900398
1740009112.5896268,0,0,1,20.132734375,125185,55.64759773207129,1010.7083671836631,21.182352800679443
1740009113.6027274,0,0,1,20.083125,126027,55.79595456767185,1010.7118166161782,21.153575494250315
1740009114.6165743,0,0,1,20.0376171875,126215,55.932033826598975,1010.7114061856961,21.156999555835885
1740009115.6295407,0,0,1,19.9938671875,125465,56.068434589924934,1010.7120948415758,21.151254368806025
1740009116.6425822,0,0,1,19.952265625,125185,56.21168324412186,1010.7180284307136,21.101752883484256
1740009117.6555579,0,1,1,19.906953125,124815,56.34805210287536,1010.7161549495897,21.11738253787908
1740009118.6681666,0,1,1,19.859296875,125093,56.46474782308636,1010.7157174375355,21.12103251782568
1740009119.6812303,0,1,1,19.7977734375,126975,56.605576972751756,1010.70671283788,21.196154407941563
1740009120.694248,0,1,1,19.7337109375,125839,56.73966315709566,1010.7058335238986,21.203490213238535
1740009121.7073271,0,1,1,19.67453125,125652,56.913453551193676,1010.7128912587241,21.14461017555716
1740009122.7200754,0,0,0,19.62453125,126027,57.06262558553348,1010.7173537554855,21.107381408612852
1740009123.7311466,0,0,1,19.5821484375,125933,57.232446268643905,1010.7079149867512,21.186125313801824
1740009124.742276,0,0,1,19.5471875,125745,57.383880767608595,1010.7140696793327,21.134779086311248
1740009125.753392,0,1,2,19.512421875,125465,57.489853281276616,1010.7135236770062,21.139334162999642
1740009126.7644985,1,1,2,19.4790234375,125371,57.62864877848168,1010.7029284608259,21.227726162877197
1740009127.775829,1,1,2,19.4466015625,126404,57.73506088015198,1010.699179910136,21.258999125147533
1740009128.7887554,1,1,2,19.411640625,126215,57.85422802587487,1010.7000538764776,21.251707894438987
1740009129.8085334,1,2,3,19.3809765625,126310,57.95446332451372,1010.700913796904,21.24453384943958
1740009130.8213403,1,2,3,19.35265625,126027,58.06812801915973,1010.7055893348257,21.20552739714951
1740009131.8347657,1,2,3,19.32765625,126499,58.18884322902726,1010.705156358088,21.20913957141654
1740009132.847039,1,2,4,19.303046875,126784,58.2573739784304,1010.7036046784938,21.222084704645237
1740009133.8609743,1,2,4,19.276484375,126784,58.371441201319975,1010.7041246236232,21.21774697810952
1740009134.8751497,1,2,4,19.2493359375,126027,58.439680813806284,1010.707191288045,21.19216286974616
1740009135.887979,1,3,4,19.2184765625,126689,58.52706871474647,1010.70070049825,21.246313332396728
