Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1745451976.19,37.875191664575155,-122.25649281692374,36.5,3.0,4.0,5.0,17.4091015625,52.80504404797038,1000.8807944171501,103.49483057759768,155564.0
1745451978.25,37.875191664575155,-122.25649281692374,36.0,3.0,5.0,6.0,17.3676953125,52.879868593318555,1000.8775952850434,103.52173173776967,156112.0
1745451980.22,37.875191664575155,-122.25649281692374,34.0,3.0,5.0,6.0,17.34650390625,52.96032507006035,1000.8936360063888,103.3868476369295,155563.0
1745451982.23,37.875191664575155,-122.25649281692374,34.0,3.0,4.5,5.5,17.316523437500003,53.011997477142856,1000.9128530330125,103.22525669184634,156943.5
1745451984.23,37.875191664575155,-122.25649281692374,33.0,3.0,4.5,5.5,17.2540234375,53.02881560015656,1000.9300352972847,103.08077726022356,158349.5
1745451986.25,37.875191664575155,-122.25649281692374,35.5,3.0,4.0,5.0,17.16037109375,53.06638062907706,1000.9298915283474,103.08198628584174,159357.0
1745451988.24,37.875191664575155,-122.25649281692374,27.0,3.0,4.0,5.0,17.06369140625,53.140542208776246,1000.9361957264694,103.02897704333182,159492.5
1745451990.25,37.875191664575155,-122.25649281692374,35.5,3.0,4.0,5.0,16.94005859375,53.2236859923091,1000.9358057124682,103.03225650768957,160507.0
1745451992.22,37.875191664575155,-122.25649281692374,35.5,3.0,4.0,5.0,16.8403515625,53.37769041908595,1000.935898589634,103.03147551829097,160431.5
1745451994.28,37.875191664575155,-122.25649281692374,34.0,3.0,4.0,5.0,16.729609375,53.53041302854332,1000.9217474160469,103.15046670385695,160941.5
1745451996.22,37.87490312208252,-122.25642320247448,35.5,3.0,4.0,5.0,16.6675,53.70170219684346,1000.925161176568,103.12176170643005,161235.0
1745451998.25,37.87493257482911,-122.2564181717776,35.0,3.0,4.0,5.0,16.66447265625,53.899107308757124,1000.9274407820408,103.10259343728481,160649.0
1745452000.24,37.87492266795889,-122.2563678214074,32.0,3.0,4.0,5.0,16.6940625,54.10703784394999,1000.9361997334859,103.02894334870001,160213.0
1745452002.25,37.874920314845866,-122.25638294803169,32.0,3.0,4.0,5.0,16.72580078125,54.29069228601655,1000.9394635533913,103.0014994900387,159923.5
1745452004.25,37.874920314845866,-122.25638294803169,37.0,3.0,4.0,5.0,16.74142578125,54.4538817567846,1000.9490660872164,102.92075698378619,160505.5
1745452006.27,37.87488606924732,-122.25636601045628,32.0,3.0,4.0,5.5,16.72208984375,54.55690907353278,1000.9523094625906,102.89348525094442,161605.0
1745452008.22,37.874884022582755,-122.25636516177386,29.0,3.0,4.0,5.5,16.6989453125,54.612936432232615,1000.9573072205758,102.85146217392972,161974.0
1745452010.24,37.87488175447464,-122.25636511289545,29.0,3.0,4.0,6.0,16.5969921875,54.618604460968584,1000.9609287364448,102.82101116886275,162644.0
1745452012.23,37.87488175447464,-122.25636511289545,31.0,3.0,4.0,6.0,16.43966796875,54.663816858758025,1000.9846332930456,102.62169687185383,163849.5
1745452014.26,37.87488175447464,-122.25636511289545,36.5,3.0,4.0,6.0,16.290058593749997,54.77834355061034,1000.982232305503,102.64188471761787,164153.5
1745452016.22,37.87490485627474,-122.25636374715609,34.0,3.0,4.0,6.0,16.1315625,54.9353058934582,1000.9810143899833,102.65212558285197,165226.5
1745452018.25,37.874905251903726,-122.25636329222793,36.0,3.0,4.0,6.0,15.98380859375,55.12484433471559,1000.9891991020968,102.58330663094968,165924.0
